CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,OID,NUM_UH
9002,9,2,Azcapotzalco,12,1054.0
9003,9,3,Coyoacán,1,1481.0
9004,9,4,Cuajimalpa de Morelos,15,0.0
9005,9,5,Gustavo A. Madero,14,923.0
9006,9,6,Iztacalco,9,996.0
9007,9,7,Iztapalapa,2,4912.0
9008,9,8,La Magdalena Contreras,3,131.0
9009,9,9,Milpa Alta,4,0.0
9010,9,10,Álvaro Obregón,5,601.0
9011,9,11,Tláhuac,6,735.0
9012,9,12,Tlalpan,7,952.0
9013,9,13,Xochimilco,8,171.0
9014,9,14,Benito Juárez,16,210.0
9015,9,15,Cuauhtémoc,10,679.0
9016,9,16,Miguel Hidalgo,13,525.0
9017,9,17,Venustiano Carranza,11,893.0
