CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,NOMBRE,ALCALDIA,OID
0901000011928021,09,010,0001,1928,021,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,1
0901000012377021,09,010,0001,2377,021,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,2
0901000012292032,09,010,0001,2292,032,Urbana,Edificio-Manzana,Unidad Habitacional,Álvaro Obregón,3
0901000012292023,09,010,0001,2292,023,Urbana,Edificio-Manzana,Unidad Habitacional,Álvaro Obregón,4
0901000012292014,09,010,0001,2292,014,Urbana,Edificio-Manzana,Unidad Habitacional,Álvaro Obregón,5
0901000012131009,09,010,0001,2131,009,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,6
0901000010811010,09,010,0001,0811,010,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,7
0901000010811009,09,010,0001,0811,009,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,8
0901000010277003,09,010,0001,0277,003,Urbana,Típica,Unidad Habitacional,Álvaro Obregón,9
0901000010262005,09,010,0001,0262,005,Urbana,Típica,Unidad Habitacional,Álvaro Obregón,10
0901000010262004,09,010,0001,0262,004,Urbana,Típica,Unidad Habitacional,Álvaro Obregón,11
0901000010258009,09,010,0001,0258,009,Urbana,Típica,Unidad Habitacional,Álvaro Obregón,12
090100001021A009,09,010,0001,021A,009,Urbana,Típica,Unidad Habitacional,Álvaro Obregón,13
090100001021A008,09,010,0001,021A,008,Urbana,Típica,Unidad Habitacional,Álvaro Obregón,14
0901000010205009,09,010,0001,0205,009,Urbana,Típica,Unidad Habitacional,Álvaro Obregón,15
0901000010135052,09,010,0001,0135,052,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,16
0901000010239022,09,010,0001,0239,022,Urbana,Edificio-Manzana,Unidad Habitacional,Álvaro Obregón,17
0901000010239021,09,010,0001,0239,021,Urbana,Edificio-Manzana,Unidad Habitacional,Álvaro Obregón,18
0901000010239011,09,010,0001,0239,011,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,19
0901000010239010,09,010,0001,0239,010,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,20
0901000012254029,09,010,0001,2254,029,Urbana,Edificio-Manzana,Unidad Habitacional,Álvaro Obregón,21
0901000012254028,09,010,0001,2254,028,Urbana,Contenida,Unidad Habitacional,Álvaro Obregón,22
0901000012254027,09,010,0001,2254,027,Urbana,Edificio-Manzana,Unidad Habitacional,Álvaro Obregón,23
