ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
1,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,2105,Desconocido,Sn. Angel,1000,Desconocido,Álvaro Obregón,1
2,TIENDAS DEPARTAMENTALES,Electra,Dr. Galvez,31,Esq. Revolución,Sn. Angel,1000,Desconocido,Álvaro Obregón,2
3,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Camino Desierto de los Leones,52,Esq. Revolución,Sn. Angel,1000,Desconocido,Álvaro Obregón,3
4,PLAZAS COMERCIALES,Desconocido,Insugentes Sur,1971,Entre Río Sn. Angel y Fernando Villapando,Guadalupe Inn.,1020,Desconocido,Álvaro Obregón,4
5,CENTRO COMERCIAL,CENTRO COMERCIAL EL RELOX,Insurjentes Sur,2374,Entre Privada Relox y Loreto,Ermita,1070,Desconocido,Álvaro Obregón,5
6,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Revolución,S/N,Esq. Río Magdalena,Ermita,1070,Desconocido,Álvaro Obregón,6
7,TIENDAS DE AUTOSERVICIO,SAMS CLUB,Periférico Sur,630,Entre Luis Cabrera y Sn. Jerónimo,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,7
8,TIENDAS DE AUTOSERVICIO,"PRICE CLUB DE MÉXICO, S.A. DE C.V.",Blvr. Adolfo López Mateos,1181,Entre Sn. Antonio y Calle 10,Sn. Pedro de los Pinos,1180,Desconocido,Álvaro Obregón,8
9,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Camino a Sta. Fé,644,Entre la Unidad Habitacional Boscoso y  la Unidad Habitacional Real del Bosque,El Cuernito,1220,Desconocido,Álvaro Obregón,9
10,TIENDAS DE AUTOSERVICIO,HOME  MART,Av. Central,175,Esq. Sta. Lucia,Alfonso Xlll,1460,Desconocido,Álvaro Obregón,10
11,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Blvr. Adolfo López Mateos,1702,Esq. Rosa de Bengala,Lomas de Plateros,1480,Desconocido,Álvaro Obregón,11
12,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Calz. de las Águilas,820,Esq. Rómulo O'Farril,Ampl.Las Águilas,1710,Desconocido,Álvaro Obregón,12
13,TIENDAS DE AUTOSERVICIO,MEGA COMERCIAL MEXICANA S.A DE C.V.,Av. de las Torres,446,Entre Prol. Sn. Pedro Prol. Sn Pablo,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,13
14,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Sn. Jerónimo,630,Desconocido,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,14
15,CENTRO COMERCIAL,CENTRO COMERCIAL PED STA. TERESA,Periférico Sur Caseta,4020,Por Camino a  Sta. Teresa,Residencial Pedregal,1990,Desconocido,Álvaro Obregón,15
16,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Av. Sn. Jerónimo Lidice,630,Esq. Periférico,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,16
17,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Centenario,394,5 de Mayo,Merced Gómez,1600,Plaza Comercial,Álvaro Obregón,17
18,CENTRO COMERCIAL,CENTRO COMERCIAL SAN JERONIMO,Periférico Sur,Desconocido,Esq. San Jerómino,Pedregal de San Angel,Desconocido,Desconocido,Álvaro Obregón,18
19,TIENDAS DEPARTAMENTALES,LIVERPOOL,Camino Real a Toluca,140,entre Jilguero y Av. Jardín,2A SECCION AMPLIACION DE BOSQUES,1140,Desconocido,Álvaro Obregón,19
20,TIENDAS DE AUTOSERVICIO,ISSSTE FARMACIA,Sur 110,S/N,F. Angeles y Camin,BELLAVISTA,1140,Desconocido,Álvaro Obregón,20
21,TIENDAS DE AUTOSERVICIO,COSCO,Boulevard Adolfo López Mateos,1135,Calle 10 y calle 16,SAN PEDRO DE LOS PINOS,1280,Desconocido,Álvaro Obregón,21
22,TIENDAS DE AUTOSERVICIO,SPORT CITY,Boulevard Adolfo López Mateos,1145,Calle 10 y calle 16,SAN PEDRO DE LOS PINOS,1280,Desconocido,Álvaro Obregón,22
23,CENTRO COMERCIAL,Grupo Sordo,Periférico,3025,Desconocido,Pedregal de San Angel,Desconocido,Desconocido,Álvaro Obregón,23
24,CENTRO Y PLAZA COMERCIAL,Terraza Pedregal,Blvd Adolfo López Mateos,4132,Desconocido,Jardines deL Pedregal,1900,Desconocido,Álvaro Obregón,24
25,CENTRO Y PLAZA COMERCIAL,Grand Pedregal,De Las Fuentes,556,Desconocido,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,25
26,CENTRO Y PLAZA COMERCIAL,JOLIE,De Las Fuentes,425,Desconocido,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,26
27,CENTRO Y PLAZA COMERCIAL,Plaza Bazar,Periferico Sur,2930,Desconocido,Tizapan San Angel,1090,Desconocido,Álvaro Obregón,27
28,CENTRO Y PLAZA COMERCIAL,Plaza Escenaria,San Jeronimo,263,Desconocido,Tizapan San Angel,1090,Desconocido,Álvaro Obregón,28
29,CENTRO Y PLAZA COMERCIAL,Patio Revolución,C del Ayuntamiento,3,Desconocido,San Angel,1000,Desconocido,Álvaro Obregón,29
30,CENTRO Y PLAZA COMERCIAL,Plaza Grand San Angel,C de la Amargura,17,Desconocido,San Angel,1000,Desconocido,Álvaro Obregón,30
31,CENTRO Y PLAZA COMERCIAL,Plaza del Carmen,Av de la Paz,57,Desconocido,San Angel,1000,Desconocido,Álvaro Obregón,31
32,CENTRO Y PLAZA COMERCIAL,Plaza Versalles,Av de la Paz,39,Desconocido,San Angel,1000,Desconocido,Álvaro Obregón,32
33,CENTRO Y PLAZA COMERCIAL,Plaza,Insurgentes Sur,1787,Desconocido,Guadalupe Inn,1020,Desconocido,Álvaro Obregón,33
34,CENTRO Y PLAZA COMERCIAL,Portal San Angel,Revolucion,1267,Desconocido,Guadalupe Inn,1267,Desconocido,Álvaro Obregón,34
35,CENTRO Y PLAZA COMERCIAL,Plaza San Angel,Altavista,125,Desconocido,San Angel Inn,1060,Desconocido,Álvaro Obregón,35
36,CENTRO Y PLAZA COMERCIAL,Plaza,Av Toluca,215,Desconocido,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,36
37,CENTRO Y PLAZA COMERCIAL,Plaza Olivar 481,Av Toluca,479,Desconocido,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,37
38,TIENDAS DE AUTOSERVICIO,WALMART EXPRESS,Av Toluca,511,Desconocido,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,38
39,CENTRO Y PLAZA COMERCIAL,La Plaza,AV. TOLUCA,571,Desconocido,Desconocido,1780,Desconocido,Álvaro Obregón,39
40,CENTRO Y PLAZA COMERCIAL,Square Plaza,Av Toluca,585,Desconocido,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,40
41,CENTRO Y PLAZA COMERCIAL,Plaza Torres de Potrero,Alta tension,71,Desconocido,Torres de Potrero,1840,Desconocido,Álvaro Obregón,41
42,CENTRO Y PLAZA COMERCIAL,Plaza Axiomiatla,Calz de las Aguilas,1952,Desconocido,Lomas de Axiomatla,1820,Desconocido,Álvaro Obregón,42
43,CENTRO Y PLAZA COMERCIAL,Grand San Francisco,Desierto de los Leones,5525,Desconocido,Alcatarilla,1729,Desconocido,Álvaro Obregón,43
44,CENTRO Y PLAZA COMERCIAL,Plaza,Olivar de los Padres,1086,Desconocido,San Jose del Olivar,1770,Desconocido,Álvaro Obregón,44
45,CENTRO Y PLAZA COMERCIAL,Plaza Punta las Aguilas,Calz de las Aguilas,1289,Desconocido,Puente Colorado,1289,Desconocido,Álvaro Obregón,45
46,TIENDAS DE AUTOSERVICIO,Bodega Aurrera Express,Calz de las Aguilas,1258,Desconocido,Puente Colorado,1730,Desconocido,Álvaro Obregón,46
47,CENTRO Y PLAZA COMERCIAL,Aguilas once 68,Calz Aguilas,1168,Desconocido,San Clemente,1740,Desconocido,Álvaro Obregón,47
48,CENTRO Y PLAZA COMERCIAL,Mini Mall,Calz de las Aguilas,807,Desconocido,1 secc la Aguilas,1710,Desconocido,Álvaro Obregón,48
49,CENTRO Y PLAZA COMERCIAL,Plaza Atlamaya,Blvd Adolfo Lopez Mateos,2433,Desconocido,Atlamaya,1760,Desconocido,Álvaro Obregón,49
