CVE_ENT,CVE_MUN,CVE_LOC,AGEB,MANZANA
09,010,0001,0830,005
09,003,0001,0677,008
09,007,0001,3897,012
09,014,0001,0990,023
09,016,0001,050A,008
09,010,0001,1006,003
09,017,0001,0210,007
09,007,0001,1195,010
09,007,0001,0981,013
09,004,0001,0369,001
09,015,0001,0979,005
09,016,0001,0444,025
09,014,0001,0986,003
09,015,0001,095A,002
09,015,0001,095A,019
09,014,0001,0030,027
09,005,0001,0489,001
09,015,0001,0964,003
09,015,0001,0837,001
09,015,0001,0748,025
09,004,0001,0369,002
09,015,0001,0358,003
09,015,0001,0803,006
09,015,0001,0964,002
09,015,0001,0875,025
09,003,0001,0111,001
09,017,0001,0899,009
09,015,0001,095A,019
09,015,0001,1040,008
09,016,0001,0711,002
09,017,0001,0367,013
09,017,0001,0475,005
09,010,0001,1114,017
09,012,0001,2013,024
09,015,0001,0803,004
09,015,0001,0803,004
09,010,0001,1129,020
09,016,0001,0571,003
09,016,0001,0834,003
09,012,0001,1104,009
09,010,0001,1542,034
09,016,0001,1264,008
09,014,0001,0079,027
09,004,0001,0369,077
09,015,0001,1110,007
09,015,0001,0767,004
09,003,0001,0130,007
09,003,0001,0145,015
09,003,0001,0037,023
09,003,0001,0130,006
09,007,0001,2691,004
09,003,0001,0130,029
09,006,0001,0787,008
09,005,0001,1557,004
09,002,0001,1004,004
09,014,0001,0223,002
09,015,0001,0998,019
09,015,0001,0786,009
09,015,0001,1534,009
09,014,0001,0933,013
09,006,0001,0109,033
09,017,0001,0579,007
09,005,0001,1400,009
09,002,0001,1095,024
09,015,0001,0697,016
09,016,0001,0571,011
09,007,0001,0981,004
09,015,0001,0979,003
09,012,0027,2032,008
09,017,0001,0899,010
09,016,0001,0798,058
09,008,0001,0550,002
09,003,0001,1444,026
09,015,0001,0752,005
09,017,0001,0579,007
09,014,0001,083A,008
09,015,0001,0818,011
09,015,0001,0697,009
09,014,0001,0384,005
09,017,0001,1007,007
09,016,0001,0177,014
09,017,0001,0634,022
09,005,0001,1561,022
09,005,0001,2112,001
09,017,0001,048A,001
09,002,0001,0932,017
09,010,0001,1241,015
09,016,0001,0459,011
09,014,0001,0492,002
09,014,0001,0079,016
09,005,0001,2127,014
09,016,0001,0730,013
09,015,0001,1106,013
09,016,0001,0497,005
09,014,0001,0933,008
09,015,0001,1182,009
09,014,0001,069A,010
09,015,0001,1214,018
09,015,0001,1055,015
09,010,0001,1129,012
09,015,0001,0678,010
09,015,0001,0678,005
09,016,0001,0707,010
09,004,0001,0231,005
09,003,0001,143A,017
09,015,0001,0911,004
09,015,0001,1002,003
09,015,0001,0697,011
09,015,0001,0023,001
09,016,0001,0069,016
09,003,0001,0022,014
09,016,0001,0497,011
09,002,0001,0311,030
09,015,0001,0875,025
09,007,0001,0977,013
09,015,0001,145A,005
09,015,0001,0998,007
09,006,0001,0081,002
09,015,0001,0466,012
09,015,0001,1002,009
09,014,0001,0736,006
09,016,0001,068A,020
09,015,0001,070A,010
09,016,0001,0177,024
09,005,0001,1275,011
09,015,0001,0127,014
09,015,0001,0697,017
09,015,0001,0466,026
09,012,0001,2070,031
09,015,0001,0470,002
09,014,0001,0859,005
09,012,0001,0411,004
09,017,0001,0210,016
09,002,0001,0665,012
09,014,0001,0736,007
09,005,0001,0972,017
09,007,0001,0483,003
09,014,0001,0257,028
09,016,0001,1349,013
09,014,0001,0172,016
09,003,0001,0037,015
09,012,0001,0962,005
09,012,0001,0958,014
09,015,0001,106A,011
09,015,0001,1125,018
09,015,0001,1214,014
09,014,0001,0948,007
09,015,0001,1341,018
09,015,0001,1318,012
09,005,0001,2860,003
09,014,0001,037A,015
09,015,0001,0682,002
09,015,0001,0818,007
09,015,0001,0644,015
09,014,0001,0806,016
09,014,0001,0223,012
09,014,0001,0257,018
09,016,0001,0251,007
09,017,0001,1295,023
09,016,0001,0158,017
