CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,OID,EST_TOT
9002,9,2,Azcapotzalco,12,67
9003,9,3,Coyoacán,1,109
9004,9,4,Cuajimalpa de Morelos,15,36
9005,9,5,Gustavo A. Madero,14,98
9006,9,6,Iztacalco,9,49
9007,9,7,Iztapalapa,2,137
9008,9,8,La Magdalena Contreras,3,22
9009,9,9,Milpa Alta,4,9
9010,9,10,Álvaro Obregón,5,107
9011,9,11,Tláhuac,6,23
9012,9,12,Tlalpan,7,76
9013,9,13,Xochimilco,8,39
9014,9,14,Benito Juárez,16,287
9015,9,15,Cuauhtémoc,10,799
9016,9,16,Miguel Hidalgo,13,290
9017,9,17,Venustiano Carranza,11,122
