CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,OID
09003,09,003,Coyoacán,1
09007,09,007,Iztapalapa,2
09008,09,008,La Magdalena Contreras,3
09009,09,009,Milpa Alta,4
09010,09,010,Álvaro Obregón,5
09011,09,011,Tláhuac,6
09012,09,012,Tlalpan,7
09013,09,013,Xochimilco,8
09006,09,006,Iztacalco,9
09015,09,015,Cuauhtémoc,10
09017,09,017,Venustiano Carranza,11
09002,09,002,Azcapotzalco,12
09016,09,016,Miguel Hidalgo,13
09005,09,005,Gustavo A. Madero,14
09004,09,004,Cuajimalpa de Morelos,15
09014,09,014,Benito Juárez,16
