CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,OID,NUM_EST
0900200010010001,9,2,1,0010,1,Urbana,Típica,2118,0
0900200010010002,9,2,1,0010,2,Urbana,Típica,2117,0
0900200010010003,9,2,1,0010,3,Urbana,Típica,2115,0
0900200010010004,9,2,1,0010,4,Urbana,Típica,2114,0
0900200010010005,9,2,1,0010,5,Urbana,Típica,2113,0
0900200010010006,9,2,1,0010,6,Urbana,Típica,2112,0
0900200010010007,9,2,1,0010,7,Urbana,Típica,493,0
0900200010010008,9,2,1,0010,8,Urbana,Típica,2111,0
0900200010010009,9,2,1,0010,9,Urbana,Típica,2110,0
0900200010010011,9,2,1,0010,11,Urbana,Típica,2109,0
0900200010010012,9,2,1,0010,12,Urbana,Típica,2108,0
0900200010010013,9,2,1,0010,13,Urbana,Típica,2107,0
0900200010010014,9,2,1,0010,14,Urbana,Típica,158,0
0900200010010015,9,2,1,0010,15,Urbana,Típica,407,0
0900200010010019,9,2,1,0010,19,Urbana,Típica,335,0
0900200010010020,9,2,1,0010,20,Urbana,Típica,2106,0
0900200010010021,9,2,1,0010,21,Urbana,Típica,2105,0
0900200010010022,9,2,1,0010,22,Urbana,Típica,2104,0
0900200010010023,9,2,1,0010,23,Urbana,Típica,2103,0
0900200010010024,9,2,1,0010,24,Urbana,Típica,157,0
0900200010010025,9,2,1,0010,25,Urbana,Típica,156,0
0900200010010026,9,2,1,0010,26,Urbana,Típica,406,0
0900200010010027,9,2,1,0010,27,Urbana,Típica,278,0
0900200010010028,9,2,1,0010,28,Urbana,Típica,405,0
0900200010010029,9,2,1,0010,29,Urbana,Típica,2102,0
0900200010010030,9,2,1,0010,30,Urbana,Típica,2101,0
0900200010025001,9,2,1,0025,1,Urbana,Típica,2100,0
0900200010025002,9,2,1,0025,2,Urbana,Típica,2099,0
0900200010025003,9,2,1,0025,3,Urbana,Típica,704,0
0900200010025005,9,2,1,0025,5,Urbana,Típica,703,0
